shipment_id,origin_port,destination_port,carrier_name,carrier_reliability,etd,eta,month,day_of_week,transit_days,container_type,risk_flag,base_delay_rate,seasonal_factor,weekday_factor,delay_probability,will_delay,delay_hours,delay_category
TRAIN-00000,Yantian,Felixstowe,CMA CGM,0.85,2025-07-16T11:19:13.127861,2025-08-23T11:19:13.127861,7,2,38,40HC,False,0.3,0.03,0.0,0.36,True,24,delayed
TRAIN-00001,Yantian,Seattle,ONE,0.87,2025-11-01T11:19:13.127908,2025-11-14T11:19:13.127908,11,5,13,20GP,True,0.12,0.1,0.05,0.29,True,57,delayed
TRAIN-00002,Los Angeles,Hamburg,CMA CGM,0.85,2025-02-13T11:19:13.127925,2025-03-09T11:19:13.127925,2,3,24,40HC,False,0.35,0.15,0.01,0.54,False,0,on_time
TRAIN-00003,Singapore,Jakarta,COSCO,0.9,2025-03-17T11:19:13.127942,2025-03-21T11:19:13.127942,3,0,4,45HC,False,0.1,0.1,0.02,0.486,False,0,on_time
TRAIN-00004,Yantian,Seattle,CMA CGM,0.85,2025-09-21T11:19:13.127952,2025-10-04T11:19:13.127952,9,6,13,20GP,False,0.12,0.08,0.05,0.28,False,0,on_time
TRAIN-00005,Shanghai,Hamburg,MAERSK,0.92,2025-04-25T11:19:13.127964,2025-05-31T11:19:13.127964,4,4,36,20GP,True,0.28,0.02,0.03,0.28,True,79,delayed
TRAIN-00006,Yantian,Felixstowe,HMM,0.84,2025-07-15T11:19:13.127974,2025-08-22T11:19:13.127974,7,1,38,20GP,True,0.3,0.03,0.01,0.39,True,24,delayed
TRAIN-00007,Shanghai,Long Beach,COSCO,0.9,2025-04-29T11:19:13.127982,2025-05-14T11:19:13.127982,4,1,15,20GP,False,0.18,0.02,0.01,0.19,False,0,on_time
TRAIN-00008,Los Angeles,Hamburg,HAPAG-LLOYD,0.91,2025-06-26T11:19:13.127990,2025-07-20T11:19:13.127990,6,3,24,40GP,False,0.35,0.0,0.01,0.33,True,134,delayed
TRAIN-00009,Singapore,Jakarta,EVERGREEN,0.86,2025-01-06T11:19:13.127998,2025-01-10T11:19:13.127998,1,0,4,40HC,False,0.1,0.05,0.02,0.21,False,0,on_time
TRAIN-00010,Shanghai,Long Beach,ONE,0.87,2025-12-03T11:19:13.128006,2025-12-18T11:19:13.128006,12,2,15,40GP,False,0.18,0.08,0.0,0.28,False,0,on_time
TRAIN-00011,New York,Rotterdam,ONE,0.87,2025-02-09T11:19:13.128014,2025-02-20T11:19:13.128014,2,6,11,20GP,False,0.18,0.15,0.05,0.4,True,69,delayed
TRAIN-00012,Shanghai,Hamburg,MSC,0.88,2025-07-15T11:19:13.128022,2025-08-20T11:19:13.128022,7,1,36,40HC,False,0.28,0.03,0.01,0.32,False,0,on_time
TRAIN-00013,Busan,Los Angeles,ONE,0.87,2025-12-26T11:19:13.128029,2026-01-07T11:19:13.128029,12,4,12,40GP,False,0.14,0.08,0.03,0.27,False,0,on_time
TRAIN-00014,Shanghai,Singapore,CMA CGM,0.85,2025-06-05T11:19:13.128036,2025-06-12T11:19:13.128036,6,3,7,45HC,False,0.08,0.0,0.01,0.12,False,0,on_time
TRAIN-00015,Shanghai,Singapore,ONE,0.87,2026-01-04T11:19:13.128043,2026-01-11T11:19:13.128043,1,6,7,40HC,False,0.08,0.05,0.05,0.2,False,0,on_time
TRAIN-00016,Yantian,Felixstowe,MAERSK,0.92,2025-05-27T11:19:13.128050,2025-07-04T11:19:13.128050,5,1,38,40GP,False,0.3,0.0,0.01,0.26,False,0,on_time
TRAIN-00017,Shanghai,Hamburg,HMM,0.84,2025-10-20T11:19:13.128057,2025-11-25T11:19:13.128057,10,0,36,45HC,False,0.28,0.12,0.02,0.47,False,0,on_time
TRAIN-00018,Port Klang,Le Havre,EVERGREEN,0.86,2025-08-23T11:19:13.128064,2025-09-26T11:19:13.128064,8,5,34,20GP,False,0.26,0.05,0.05,0.4,False,0,on_time
TRAIN-00019,Singapore,Jakarta,MAERSK,0.92,2025-08-06T11:19:13.128071,2025-08-10T11:19:13.128071,8,2,4,40HC,False,0.1,0.05,0.0,0.1,False,0,on_time
TRAIN-00020,Shanghai,Singapore,EVERGREEN,0.86,2025-10-06T11:19:13.128077,2025-10-13T11:19:13.128077,10,0,7,45HC,False,0.08,0.12,0.02,0.26,False,0,on_time
TRAIN-00021,Port Klang,Le Havre,HAPAG-LLOYD,0.91,2025-09-10T11:19:13.128084,2025-10-14T11:19:13.128084,9,2,34,40GP,False,0.26,0.08,0.0,0.31,True,39,delayed
TRAIN-00022,Shanghai,Rotterdam,MAERSK,0.92,2025-03-15T11:19:13.128092,2025-04-19T11:19:13.128092,3,5,35,40HC,False,0.25,0.1,0.05,0.35,False,0,on_time
TRAIN-00023,Busan,Los Angeles,HAPAG-LLOYD,0.91,2025-06-26T11:19:13.128099,2025-07-08T11:19:13.128099,6,3,12,40GP,True,0.14,0.0,0.01,0.12,True,168,delayed
TRAIN-00024,Hong Kong,Singapore,MAERSK,0.92,2025-08-19T11:19:13.128116,2025-08-24T11:19:13.128116,8,1,5,45HC,False,0.07,0.05,0.01,0.08,False,0,on_time
TRAIN-00025,Yantian,Seattle,CMA CGM,0.85,2025-10-22T11:19:13.128124,2025-11-04T11:19:13.128124,10,2,13,20GP,False,0.12,0.12,0.0,0.54,False,0,on_time
TRAIN-00026,New York,Rotterdam,HAPAG-LLOYD,0.91,2026-01-05T11:19:13.128132,2026-01-16T11:19:13.128132,1,0,11,40GP,False,0.18,0.05,0.02,0.516,False,0,on_time
TRAIN-00027,Shanghai,Rotterdam,HMM,0.84,2025-04-20T11:19:13.128140,2025-05-25T11:19:13.128140,4,6,35,20GP,False,0.25,0.02,0.05,0.37,True,24,delayed
TRAIN-00028,Shanghai,Hamburg,ONE,0.87,2025-10-20T11:19:13.128148,2025-11-25T11:19:13.128148,10,0,36,40HC,False,0.28,0.12,0.02,0.44,True,102,delayed
TRAIN-00029,Busan,Los Angeles,HMM,0.84,2025-10-01T11:19:13.128155,2025-10-13T11:19:13.128155,10,2,12,20GP,True,0.14,0.12,0.0,0.31,True,24,delayed
TRAIN-00030,Ningbo,Long Beach,CMA CGM,0.85,2025-01-22T11:19:13.128163,2025-02-07T11:19:13.128163,1,2,16,20GP,False,0.2,0.05,0.0,0.28,False,0,on_time
